pwm,newtons,grams
1000,0.00692,0.70584
1025,0.00187,0.19036
1050,0.00131,0.13318
1075,0.00883,0.90012
1100,1.90309,194.05406
1125,4.97733,507.52841
1150,7.08979,722.93146
1175,9.07351,925.20801
1200,11.06522,1128.29846
1225,12.84145,1309.41711
1250,14.59144,1487.85974
1275,16.30002,1662.08057
1300,17.80177,1815.21033
1325,19.53575,1992.02112
1350,21.33865,2175.85864
1375,22.34649,2278.62671
1400,23.38258,2384.27417
1425,24.23755,2471.45410
1450,23.98829,2446.03735
1475,22.40876,2284.97607
1500,21.60851,2203.37622
1525,23.19121,2364.76050
1550,25.52812,2603.05054
1575,27.34899,2788.72144
1600,29.10256,2967.52930
1625,31.61049,3223.25806
1650,33.19163,3384.48315
1675,35.39825,3609.48853
1700,37.52821,3826.67554
1725,39.85323,4063.75317
1750,42.14202,4297.13672
1775,44.61410,4549.20947
1800,46.96625,4789.05371
1825,48.79207,4975.22900
1850,50.83482,5183.52393
1875,53.00446,5404.75830
1900,55.53913,5663.21289
1925,58.58757,5974.05615
1950,59.29353,6046.04150
1975,60.86927,6206.71631
2000,60.23844,6142.39209
